Security,USURTOT  Index                                                  ,,US Unemployment Rate in Labor Force Seasonally Adjusted
Start Date,1/31/2005 0:00,,Bureau of Labor Statistics
End Date,9/30/2020 0:00,,
Period,M,,
,,,
Date,PX_LAST,FIRST_REVISION,
9/30/2020,7.9,#N/A N/A,
8/31/2020,8.4,#N/A N/A,
7/31/2020,10.2,#N/A N/A,
6/30/2020,11.1,#N/A N/A,
5/31/2020,13.3,#N/A N/A,
4/30/2020,14.7,#N/A N/A,
3/31/2020,4.4,#N/A N/A,
2/29/2020,3.5,#N/A N/A,
1/31/2020,3.6,#N/A N/A,
12/31/2019,3.5,#N/A N/A,
11/30/2019,3.5,#N/A N/A,
10/31/2019,3.6,#N/A N/A,
9/30/2019,3.5,#N/A N/A,
8/31/2019,3.7,#N/A N/A,
7/31/2019,3.7,#N/A N/A,
6/30/2019,3.7,#N/A N/A,
5/31/2019,3.6,#N/A N/A,
4/30/2019,3.6,#N/A N/A,
3/31/2019,3.8,#N/A N/A,
2/28/2019,3.8,#N/A N/A,
1/31/2019,4,#N/A N/A,
12/31/2018,3.9,#N/A N/A,
11/30/2018,3.7,#N/A N/A,
10/31/2018,3.8,#N/A N/A,
9/30/2018,3.7,#N/A N/A,
8/31/2018,3.8,#N/A N/A,
7/31/2018,3.8,#N/A N/A,
6/30/2018,4,#N/A N/A,
5/31/2018,3.8,#N/A N/A,
4/30/2018,4,#N/A N/A,
3/31/2018,4,#N/A N/A,
2/28/2018,4.1,#N/A N/A,
1/31/2018,4.1,#N/A N/A,
12/31/2017,4.1,#N/A N/A,
11/30/2017,4.2,#N/A N/A,
10/31/2017,4.1,#N/A N/A,
9/30/2017,4.2,#N/A N/A,
8/31/2017,4.4,#N/A N/A,
7/31/2017,4.3,#N/A N/A,
6/30/2017,4.3,#N/A N/A,
5/31/2017,4.4,#N/A N/A,
4/30/2017,4.4,#N/A N/A,
3/31/2017,4.4,#N/A N/A,
2/28/2017,4.6,#N/A N/A,
1/31/2017,4.7,#N/A N/A,
12/31/2016,4.7,#N/A N/A,
11/30/2016,4.7,#N/A N/A,
10/31/2016,4.9,#N/A N/A,
9/30/2016,5,#N/A N/A,
8/31/2016,4.9,#N/A N/A,
7/31/2016,4.8,#N/A N/A,
6/30/2016,4.9,#N/A N/A,
5/31/2016,4.8,#N/A N/A,
4/30/2016,5,#N/A N/A,
3/31/2016,5,#N/A N/A,
2/29/2016,4.9,#N/A N/A,
1/31/2016,4.9,#N/A N/A,
12/31/2015,5,#N/A N/A,
11/30/2015,5.1,#N/A N/A,
10/31/2015,5,#N/A N/A,
9/30/2015,5,#N/A N/A,
8/31/2015,5.1,#N/A N/A,
7/31/2015,5.2,#N/A N/A,
6/30/2015,5.3,#N/A N/A,
5/31/2015,5.6,#N/A N/A,
4/30/2015,5.4,#N/A N/A,
3/31/2015,5.4,#N/A N/A,
